"Transaction Hash","Blockno","UnixTimestamp","DateTime (UTC)","From","To","Quantity","Method"
"0x00250c794a81a24d188724bdfc7496cf758229071f7b703e374c4fb200562586","20288329","1727366005","2024-09-26 15:53:25","0x12be7322070cfa75e2f001c6b3d6ac8c2efef5ea","0x0c8993ce05569e1b5cb5e07aec439799175ceca8","11,465","Swap UDT For UP"
"0x3bcc2ca51379b5f52405e85b6da033610376b1ac580b20b3c9b18a201ec80a98","20457455","1727704257","2024-09-30 13:50:57","0x12be7322070cfa75e2f001c6b3d6ac8c2efef5ea","0x3074517c5f5428f42c74543c68001e0ca86fe7dd","0.0000000004","Swap UDT For UP"
"0x0d5c09a575d7de0e83733b6a1b8b6aaaf900fcb8eb51f96d7a1b6719a73f28a5","20457480","1727704307","2024-09-30 13:51:47","0x12be7322070cfa75e2f001c6b3d6ac8c2efef5ea","0x3074517c5f5428f42c74543c68001e0ca86fe7dd","400,000,000","Swap UDT For UP"
"0x88f2480710175f7293d3bd3907fa4bd075a10114f44cd92c0c42650484d3b974","20459816","1727708979","2024-09-30 15:09:39","0x12be7322070cfa75e2f001c6b3d6ac8c2efef5ea","0x0cc296c8d7dd9342dbb07b343f882c09223c56fd","154,531","Swap UDT For UP"
"0x01135983f7425d36b588a9f04a6e83e8c6a2242fc4ed76af243b0eee326861bc","20544225","1727877797","2024-10-02 14:03:17","0x12be7322070cfa75e2f001c6b3d6ac8c2efef5ea","0xb34567c4ca697b39f72e1a8478f285329a98ed1b","89,156,669.286171712764666","Execute"
"0xaa92b44a450fb2b39736335f0d5eafdc7cce682d9650a43faf95bb8685b166a7","20573475","1727936297","2024-10-03 06:18:17","0x12be7322070cfa75e2f001c6b3d6ac8c2efef5ea","0xa788e0586409fa4eaf986e24604003adaa3dcc9d","10,062.3","Swap UDT For UP"
"0xfd38e081754cebbf05d95867e57449dc3d9ea991f4836150005fbd49880c4adc","20617438","1728024223","2024-10-04 06:43:43","0x12be7322070cfa75e2f001c6b3d6ac8c2efef5ea","0xfc6b98a5a28cb374c9ce08363e374a795462252b","161,000","Swap UDT For UP"
"0x9af1c8de690b5d6daeaea68caa9f072cdf9bc61eacdddee8a0a3773cb8575c15","20649173","1728087693","2024-10-05 00:21:33","0x12be7322070cfa75e2f001c6b3d6ac8c2efef5ea","0x9492510bbcb93b6992d8b7bb67888558e12dcac4","2,193,085.0237404643","Swap UDT For UP"
"0x2ccd7aa99361daf7c15c064a87a802ebcc9df573386258c62558de70064a458d","20667736","1728124819","2024-10-05 10:40:19","0x12be7322070cfa75e2f001c6b3d6ac8c2efef5ea","0xc8dfe3d00de485bce147845a1df294292073f79a","74,098.473748103713081","Swap UDT For UP"
"0xe2550372841f60a70c75fbb456e34f52ab479ada0bda6d2a5d565f71e8a2f33b","20711005","1728211357","2024-10-06 10:42:37","0x12be7322070cfa75e2f001c6b3d6ac8c2efef5ea","0x0af9431e73b9ccd393242804c221dc92c9017345","2,000","Swap UDT For UP"
"0xdf133376e1c2f066892ff45dc20adb8f3009dda8fbec49424ca6eb6e091db23e","20721333","1728232013","2024-10-06 16:26:53","0x12be7322070cfa75e2f001c6b3d6ac8c2efef5ea","0x31da8f32bb76f0d2c1caa14b79087ca2fbe0277e","184,333","Swap UDT For UP"
"0x453cd5d6443811baa9b335e656d38644f1fad90b60ffbc613c3bd107d9c0da2c","20738909","1728267165","2024-10-07 02:12:45","0x12be7322070cfa75e2f001c6b3d6ac8c2efef5ea","0xc8dfe3d00de485bce147845a1df294292073f79a","227,973.418035579772518","Swap UDT For UP"
"0x6c437f2ab43b07c2167778c70f58cc7f8b1a67d8efcdafc8ba7de4bdac6f09d0","20740693","1728270733","2024-10-07 03:12:13","0x12be7322070cfa75e2f001c6b3d6ac8c2efef5ea","0x8851362132466e9a1836921f59d8a20d6fbf950b","80,000","Swap UDT For UP"
"0x7a7c9fb4f6fb15665d08ddc8c0d13e60099d4b86ae4eb2dc9a7f9ca51efc531f","20756918","1728303183","2024-10-07 12:13:03","0x12be7322070cfa75e2f001c6b3d6ac8c2efef5ea","0x8c9b739df17131dc670964eece0861cb209ce2d4","506,676.69","Swap UDT For UP"
"0xfa2278a3b7fac65d94b887c9504cb5fe7c8fb6e240e350c5773c90d354b1f7d7","20826023","1728441393","2024-10-09 02:36:33","0x12be7322070cfa75e2f001c6b3d6ac8c2efef5ea","0xc8dfe3d00de485bce147845a1df294292073f79a","109,259.435946746991133","Swap UDT For UP"
"0x77f582b83e20b16fdc7d8c2397b44e358886af6426e3e2c59c9f23900fdf2388","20868066","1728525479","2024-10-10 01:57:59","0x12be7322070cfa75e2f001c6b3d6ac8c2efef5ea","0xedb5f894ce46c4e4fc94f0d33745707ae0da32e6","5,800","Swap UDT For UP"
"0xac05f164b59422b8aa5ca9c7b7c8d13b085e0b18e21afdb71237eeaca153f334","20875279","1728539905","2024-10-10 05:58:25","0x12be7322070cfa75e2f001c6b3d6ac8c2efef5ea","0x78c0a25ccc21604b3d117100de7c9523f53236c7","1,000","Swap UDT For UP"
"0x618a7be16a5ced1b79674e76ca6f26007446f0455b15bc2751cf8cb48b694eca","20878125","1728545597","2024-10-10 07:33:17","0x12be7322070cfa75e2f001c6b3d6ac8c2efef5ea","0xc8dfe3d00de485bce147845a1df294292073f79a","138,404.753547979206276","Swap UDT For UP"
"0xcd9952a8169b50b93c8370ddd747351cc1de64db7404ec0ab62a84dc788a3c4e","21049410","1728888167","2024-10-14 06:42:47","0x12be7322070cfa75e2f001c6b3d6ac8c2efef5ea","0x203ff8d26324e91a74bd07cc162936a6efb10e61","50,660","Swap UDT For UP"
"0x14e3981f7d6040728bdafa741ca8cd79f87ae27433ba4316db96a2c4a0aa9b0a","21055548","1728900443","2024-10-14 10:07:23","0x12be7322070cfa75e2f001c6b3d6ac8c2efef5ea","0x6f375cbeb518f03c43ca6552ef64cecbc090780b","32,605","Swap UDT For UP"
"0xd66e34ef2efda2cbca30eae050208e00e0eaa4c8777a190e3df830d4c6d98326","21141371","1729072089","2024-10-16 09:48:09","0x12be7322070cfa75e2f001c6b3d6ac8c2efef5ea","0xb44acba8325f94fb1d120481bb8b4824f7a4dcee","100,143.882303945000915","Swap UDT For UP"
"0x2a1c6430b3a77eb896a928d19273378909d0a5a49a776aa577beaf0fa29e82ee","21149005","1729087357","2024-10-16 14:02:37","0x12be7322070cfa75e2f001c6b3d6ac8c2efef5ea","0x1fde40a4046eda0ca0539dd6c77abf8933b94260","540","Swap UDT For UP"
"0x35a633cadddb6184b6f682a7302719af04cfe07107b97449db84abd1c58f743c","21178530","1729146407","2024-10-17 06:26:47","0x12be7322070cfa75e2f001c6b3d6ac8c2efef5ea","0xc8dfe3d00de485bce147845a1df294292073f79a","48,582.201689141943353","Swap UDT For UP"
"0x982ac90b49d33bb6373f9c78d5c4c7067d080b14753edbd974497259607f6e80","21186754","1729162855","2024-10-17 11:00:55","0x12be7322070cfa75e2f001c6b3d6ac8c2efef5ea","0x4ba6655490b5d820be9ff45772e402afbc556ec0","122,353.642641146221427","Swap UDT For UP"
"0x05b7916ba078f038be4e5206e2fb91bdc204e79a93001b8737243642361848cb","21195947","1729181241","2024-10-17 16:07:21","0x12be7322070cfa75e2f001c6b3d6ac8c2efef5ea","0x8a743c8aacf070cff044623c9c087005299ed996","331.719893331244319","-"
"0x14d249a27c760a7510fcca62454837a6e3dad7c17ff093814bc84c82cc27f111","21214575","1729218497","2024-10-18 02:28:17","0x12be7322070cfa75e2f001c6b3d6ac8c2efef5ea","0xc8dfe3d00de485bce147845a1df294292073f79a","75,870.205400865942434","Swap UDT For UP"
"0xda37d76ac3c978c626d2a7ba1b14607aa2ff9ba0156ae4e39f55e3cd11e8d74a","21377742","1729544831","2024-10-21 21:07:11","0x12be7322070cfa75e2f001c6b3d6ac8c2efef5ea","0x0e8c572ae88547157ff4918d86a3691ca28ff94c","3,165.236219853227754","Swap UDT For UP"
"0xddbc7ddc2a13d27d4053f5f6e5bd06471091dee086d1e59218394f7b6dc01097","21395052","1729579451","2024-10-22 06:44:11","0x12be7322070cfa75e2f001c6b3d6ac8c2efef5ea","0x0af9431e73b9ccd393242804c221dc92c9017345","48,372","Swap UDT For UP"
"0x13e3730c6709f13c6bc83d7edb6c1647b36667c96f7e787cb27dcf4e3f13a28f","21486331","1729762009","2024-10-24 09:26:49","0x12be7322070cfa75e2f001c6b3d6ac8c2efef5ea","0x66864b976e72cd689e850438b4d825f7dfe5347b","2,000","Swap UDT For UP"
"0x564e28cedca4fdbd3500f2fc645a6adedae2e516b5a17ac158e67ee843e3de0f","21616307","1730021961","2024-10-27 09:39:21","0x12be7322070cfa75e2f001c6b3d6ac8c2efef5ea","0xbe0132878f400dc1de1ee6e1d3428a6c3c404d0f","5,000.227295644330184","Swap UDT For UP"
"0xff4853af5a2531e303da93a80a7d9066f70181cb478e863ce2830121a9a45ae6","21730135","1730249617","2024-10-30 00:53:37","0x12be7322070cfa75e2f001c6b3d6ac8c2efef5ea","0xc63af5adcb9e60ddf34793935cfe167bcb231d76","500,785.931406998380811","Swap UDT For UP"
